t,d
1,-0.00575799
2,-0.00575799
3,0.00409703
4,-0.00819407
5,-0.00692066
6,-0.00802797
7,-0.0236964
8,0.00653311
9,0.0280149
10,0.0141182
11,0.00896918
12,-0.0157238
13,-0.0340497
14,0.00083048
15,0.019544
16,-0.00221461
17,0.00642238
18,0.00808334
19,-0.0128448
20,0.00448459
21,0.00913528
22,-0.0223122
23,0.00359875
24,0.0237517
25,0.00453996
26,-0.00221461
27,-0.0153362
28,-0.0244715
29,0.00310046
30,0.0152808
31,0.00852626
32,0.0192671
33,-0.00337728
34,-0.0270736
35,0.00919064
36,0.0083048
37,-0.0218139
38,-0.00199315
39,0.00503824
40,0.000996576
41,0.0230873
42,0.0106301
43,-0.0146718
44,-0.00232534
45,-0.00747432
46,-0.0110177
47,0.0215371
48,0.00697603
49,-0.0178276
50,0.00631165
51,0.00348802
52,-0.0192671
53,0.00105194
54,0.00548117
55,-0.00780651
56,0.0182152
57,0.0138413
58,-0.0130108
59,-0.0140628
60,-0.00487215
61,0.00896918
62,0.0245268
63,0.00304509
64,-0.0199315
65,-0.00775114
66,-0.00238071
67,-0.00492751
68,0.0100765
69,0.00824943
70,-0.00265754
71,0.00824943
72,-0.00520434
73,-0.00791724
74,0.0111838
75,-0.00343265
76,-0.0205959
77,0.00747432
78,0.0173293
79,0.00847089
80,0.00747432
81,-0.00310046
82,-0.0106301
83,-0.000442923
84,-0.00714213
85,-0.0066992
86,0.012125
87,0.00459532
88,-0.010464
89,-0.00321119
90,-0.00171632
91,-0.00769578
92,0.00171632
93,0.0159452
94,0.00736359
95,-0.00797261
96,-0.00991039
97,-0.010907
98,-0.0120143
99,0.0119589
100,0.023641
101,0.0118482
102,0.00199315
103,-0.0128448
104,-0.0114053
105,0.00420776
106,0.00780651
107,-0.00597945
108,0.00094121
109,0.0118482
110,-0.0083048
111,-0.00863699
112,-0.00420776
113,-0.0142843
114,0.00780651
115,0.0142289
116,-0.00138413
117,0.00692066
118,0.00326655
119,-0.0238071
120,-0.00797261
121,0.0103533
122,-0.00481678
123,0.0109623
124,0.0140074
125,-0.00620092
126,0.000442923
127,-0.00581336
128,-0.0329977
129,-0.00337728
130,0.0275166
131,0.0139521
132,0.00747432
133,-0.00188242
134,-0.0138967
135,0.00359875
136,-0.00802797
137,-0.0186581
138,0.0278488
139,0.0216478
140,-0.0228659
141,0.00603482
142,0.0149486
143,-0.0290668
144,-0.0153362
145,0.012125
146,0.00470605
147,0.0120696
148,-0.00420776
149,-0.0209835
150,0.00420776
151,-0.00155023
152,-0.0184367
153,0.0104087
154,0.0240285
155,0.00780651
156,0.00487215
157,-0.0081387
158,-0.0195993
159,-0.00393094
160,0.00138413
161,0.00481678
162,0.0243607
163,0.000498288
164,-0.0163881
165,0.00310046
166,-0.000442923
167,-0.0120696
168,-0.00188242
169,0.00537044
170,0.0066992
171,0.0162774
172,0.00448459
173,-0.0112392
174,-0.00979966
175,-0.00797261
176,0.00232534
177,0.0110731
178,0.0117374
179,0.00470605
180,-0.00581336
181,-0.00824943
182,-0.002879
183,-0.00226998
184,-0.00094121
185,0.00902455
186,0.00891382
187,-0.010907
188,-0.016222
189,-0.00664384
190,0.00553653
191,0.0115714
192,0.0107962
193,0.00249144
194,0.00326655
195,-0.011516
196,-0.013343
197,0.00719749
198,0.002879
199,-0.00797261
200,0.00919064
201,0.0125679
202,-0.00459532
203,-0.00525971
204,-0.00238071
205,0.00221461
206,0.00260217
207,-0.010464
208,-0.00448459
209,0.0206513
210,0
211,-0.0210942
212,-0.000885845
213,-0.00625628
214,-0.0146164
215,0.0145611
216,0.0125679
217,0.00503824
218,0.00465069
219,-0.0193225
220,-0.02198
221,0.0203191
222,0.0167203
223,-0.00409703
224,0.0139521
225,0.00094121
226,-0.0210942
227,0.00365411
228,-0.00188242
229,-0.0132323
230,0.0164989
231,0.0186581
232,-0.0124572
233,-0.00431849
234,0.00110731
235,-0.00797261
236,-0.00332192
237,0
238,0.0124018
239,0.015613
240,-0.0109623
241,-0.00575799
242,0.0150594
243,-0.0105748
244,-0.0150594
245,0.0111284
246,0.00680993
247,0.000387557
248,0.00736359
249,-0.0141735
250,-0.0136199
251,0.00869235
252,-0.0055919
253,-0.00575799
254,0.0157238
255,0.0123465
256,-0.0132877
257,-0.00725286
258,-0.0027129
259,-0.00636701
260,0.00736359
261,0.0202637
262,0.0097443
263,0.00481678
264,0.00132877
265,-0.00647774
266,-0.0227551
267,-0.00808334
268,0.0184367
269,0.00614555
270,-0.00935674
271,0.00863699
272,0.00204852
273,-0.0211496
274,-0.00503824
275,0.000442923
276,0.00370948
277,0.0150594
278,-0.00570263
279,-0.00514897
280,0.0177169
281,-0.00193779
282,-0.019544
283,0.000332192
284,0.0105194
285,0.00863699
286,0.0163328
287,-0.0140628
288,-0.0274612
289,-0.000996576
290,-0.00503824
291,0.00714213
292,0.032887
293,0.0039863
294,-0.0141182
295,-0.000609019
296,-0.019544
297,-0.0197654
298,0.0202637
299,0.00431849
300,0.00204852
301,0.038645
302,0.00725286
303,-0.0329424
304,-0.00791724
305,0.000221461
306,-0.00232534
307,0.0136752
308,-0.00110731
309,-0.010464
310,0.0111284
311,-0.0120696
312,-0.0197654
313,0.0216478
314,0.0102979
315,-0.00653311
316,0.0176062
317,0.00520434
318,-0.017274
319,-0.00276827
320,-0.00791724
321,-0.00348802
322,0.0200422
323,0.00354338
324,-0.0103533
325,0.00376484
326,-0.00675457
327,-0.0070314
328,0.00858162
329,-0.00741895
330,-0.0124572
331,0.0180491
332,0.00725286
333,-0.0179937
334,0.00841553
335,0.0132877
336,-0.0131769
337,0.000775114
338,0.00370948
339,0.00592409
340,0.020762
341,0.00952283
342,-0.0168864
343,-0.0146718
344,0.00603482
345,-0.00581336
346,0.00293436
347,0.0210388
348,-5.53653e-05
349,-0.0122357
350,-0.00470605
351,-0.000885845
352,0.00354338
353,0.00597945
354,-0.00409703
355,-0.000775114
356,0.00736359
357,-0.0070314
358,-0.0166096
359,0.000775114
360,0.0181045
361,0.0204852
362,0.00426313
363,-0.0133984
364,-0.0114053
365,-0.000498288
366,-0.00210388
367,-0.00171632
368,0.0128448
369,-0.00431849
370,-0.0164989
371,0.00664384
372,0.00725286
373,-0.0108516
374,-0.0102979
375,0.00332192
376,0.0117928
377,0.00819407
378,0.00326655
379,-0.0176062
380,-0.0119589
381,-0.00249144
382,0.00730822
383,0.0326102
384,0.0164989
385,-0.0147272
386,-0.00874772
387,-0.00160559
388,-0.0158898
389,-0.00459532
390,0.0142843
391,0.00968893
392,0.00852626
393,-0.00481678
394,-0.0178276
395,0.00193779
396,-0.000442923
397,-0.00780651
398,0.0166096
399,0.0229212
400,-0.00177169
401,-0.00420776
402,-0.000110731
403,-0.00885845
404,0.000664384
405,0.000885845
406,-0.0150594
407,0.00359875
408,0.00979966
409,-0.00249144
410,0.00310046
411,0.0055919
412,-0.0189349
413,-0.00747432
414,0.0221461
415,0.0179937
416,0.00155023
417,-0.00680993
418,-0.0215371
419,-0.0108516
420,0.0109623
421,0.00802797
422,0.0070314
423,0.00836016
424,-0.00537044
425,0.00226998
426,0.0106855
427,-0.0153362
428,-0.0161113
429,0.0146164
430,0.0154469
431,0.00935674
432,-0.00260217
433,-0.0239178
434,-0.0220354
435,0.0131769
436,0.0200976
437,0.00498288
438,0.00370948
439,-0.0142843
440,-0.00791724
441,0.0203191
442,-0.00321119
443,-0.0172186
444,0.00780651
445,0.00304509
446,-0.0039863
447,0.0135645
448,-0.000719749
449,-0.0229766
450,-0.00592409
451,0.0110731
452,0.0167203
453,0.0158898
454,-0.00924601
455,-0.0160006
456,0.0145611
457,-0.000166096
458,-0.020153
459,0.00431849
460,0.00199315
461,0.00514897
462,0.0287346
463,-0.00132877
464,-0.0264646
465,-0.00387557
466,0.00448459
467,-0.000885845
468,0.00592409
469,0.00265754
470,-0.0095782
471,0.0055919
472,0.00393094
473,-0.00708676
474,0.00819407
475,-0.002879
476,-0.0146164
477,0.0161113
478,0.0135645
479,-0.00758505
480,-0.0127894
481,-0.0138967
482,0.00243607
483,0.0235303
484,0.00310046
485,-0.00680993
486,0.00409703
487,-0.0131769
488,-0.00985503
489,0.0107409
490,0.00946747
491,0.000498288
492,0.0110177
493,-0.00797261
494,-0.00952283
495,0.0179937
496,0.00094121
497,-0.0132323
498,0.00946747
499,0.00509361
500,-0.0130108
501,0.00636701
502,0.0176062
503,-5.53653e-05
504,-0.019101
505,-0.0083048
506,0.0055919
507,0.0168311
508,0.00160559
509,-0.013343
510,-0.00210388
511,0.00177169
512,-0.00409703
513,-0.00310046
514,0.0112945
515,0.0152255
516,-0.00780651
517,-0.0153362
518,0.0039863
519,-0.00094121
520,-0.0115714
521,0.0104087
522,0.0183259
523,0.0055919
524,5.53653e-05
525,-0.0124018
526,-0.0130108
527,0.00991039
528,0.0100211
529,-0.00492751
530,-0.00094121
531,0.00354338
532,-0.00105194
533,0.00177169
534,-0.00592409
535,-0.00387557
536,0.0104087
537,-0.00503824
538,-0.00553653
539,0.0160006
540,-0.00675457
541,-0.0228659
542,0.0113499
543,0.010464
544,0.000775114
545,0.0580782
546,0.000609019
547,-0.0420223
548,0.00819407
549,0.00132877
550,-0.0757398
551,0.00625628
552,0.0279595
