t,d
1,6.6725e-05
2,0.000200175
3,0.0002669
4,0.000200175
5,0.0002669
6,0.00040035
7,0.0002669
8,0.0002669
9,0.0002669
10,0.000200175
11,6.6725e-05
12,0
13,-6.6725e-05
14,0
15,0.000200175
16,0.000200175
17,0.000200175
18,0.0002669
19,0.0002669
20,0.000200175
21,6.6725e-05
22,0.000200175
23,0.00013345
24,0.0002669
25,0.0002669
26,0.00040035
27,0.000200175
28,0.00040035
29,0.0002669
30,0.000333625
31,0.000200175
32,0.000333625
33,0.000333625
34,0.000333625
35,0.00040035
36,0.000467075
37,0.00040035
38,0.00040035
39,0.000333625
40,0.00040035
41,0.0002669
42,0.00040035
43,0.00040035
44,0.000467075
45,0.000467075
46,0.0005338
47,0.00040035
48,0.000467075
49,0.00040035
50,0.00040035
51,0.00040035
52,0.00040035
53,0.00040035
54,0.000333625
55,0.00040035
56,0.00040035
57,0.0002669
58,0.0002669
59,0.000200175
60,0.00013345
61,0.00013345
62,0.00040035
63,0.000333625
64,0.00040035
65,0.000333625
66,0.00040035
67,0.00040035
68,0.000333625
69,0.000200175
70,0.00013345
71,6.6725e-05
72,6.6725e-05
73,0.000200175
74,0.00013345
75,0
76,0
77,0.00013345
78,0.000333625
79,0.000333625
80,0.000200175
81,0.000200175
82,0.000200175
83,0.0002669
84,0.000333625
85,0.000333625
86,0.000333625
87,0.000333625
88,0.0002669
89,0.0002669
90,0.000200175
91,0.000200175
92,0.0002669
93,0.000200175
94,0.0002669
95,0.0005338
96,0.000467075
97,0.0005338
98,0.00040035
99,0.00040035
100,0.000333625
101,0.000333625
102,0.0002669
103,0.0002669
104,0.000333625
105,0.00040035
106,0.00040035
107,0.000467075
108,0.000467075
109,0.000333625
110,0.00040035
111,0.00040035
112,0.0002669
113,0.000333625
114,0.000333625
115,0.0002669
116,0.0002669
117,0.0002669
118,0.0002669
119,0.000333625
120,0.000200175
121,0.000200175
122,0.0002669
123,0.0002669
124,0.0002669
125,0.0002669
126,0.0002669
127,0.000333625
128,0.000333625
129,0.0002669
130,0.0002669
131,0.00013345
132,6.6725e-05
133,0.00013345
134,6.6725e-05
135,0
136,0
137,0
138,0.00013345
139,0.0002669
140,0.000333625
141,0.0002669
142,0.000333625
143,0.0002669
144,0.0002669
145,0.00040035
146,0.000333625
147,0.00040035
148,0.000467075
149,0.0002669
150,0.000200175
151,0.00013345
